date-time-group,time(s),image_id,guidelines,templates,values,,,,,,
[2022-03-14 14:31:21],14,img_1,true,true,0.907890321125401,0.998521310461185,0.89182182613305,,,,
[2022-03-14 14:32:27],45,img_3,true,true,0.943205281468323,0,0.916929576606257,0.90646005810911,0.942128442647371,0.885939332571549,0.913339518114999
[2022-03-14 14:33:14],46,img_4,true,true,0.975815728927003,0.967513492167961,0.989007810240092,0.959095383658878,0.968862680777391,0.998141338503711,0.94683151805722
[2022-03-14 14:39:58],17,img_1,true,true,0.648026830413016,0.643957631198844,0.648019980741454,,,,
[2022-03-14 14:40:59],33,img_3,true,true,0.963651884734388,0.761895912297069,0.618562425701756,0.764161821977283,0.787795692760086,0.694718156558294,0.605103662595033
[2022-03-14 14:41:43],43,img_4,true,true,1.01249338974088,1.01884009386524,0.966505324298161,0.975400376061726,0.967465709193294,0,1.01713605924104
[2022-03-14 14:43:13],20,img_1,false,true,0.587916788002329,0.584231217239371,0.603114079790332,,,,
[2022-03-14 14:43:53],21,img_3,false,true,1.04153281058287,0.94652688691491,0,0.841491628856625,0.94396553916967,0.657895183630005,0.638158328121105
[2022-03-14 14:44:10],17,img_4,false,true,0.889782403027436,0.919624192036908,0.887803206635396,0.898685638490293,0.862086092715232,0.888245033112583,0.868495742667928
[2022-03-14 14:45:53],67,img_1,false,true,0.900429539996317,0.962521713560506,0.948124887263668,,,,
[2022-03-14 14:48:27],112,img_3,false,true,0.934030559659691,0.937348547177363,0.826791195826857,0.942637080802621,0.975630968930394,0.865129767369271,0.91916325461883
[2022-03-14 14:49:35],68,img_4,false,true,0.854156697811469,0.953725574404123,0.898060128294304,0.917323756733547,0.89439045709291,1.01778715296679,0.961411260450841
[2022-03-14 15:08:54],14,img_1,false,false,0.773630708948035,0.738787008395934,1.04413904644856,,,,
[2022-03-14 15:10:24],69,img_3,false,false,0.938314856604448,0.958477655203923,0.846676840462051,1.03563955774239,1.01764292264545,0.989005776667181,0.8014009565428
[2022-03-14 15:11:21],56,img_4,false,false,0.887274650015107,0.98252482563717,0.990381607757272,0.972625609497562,0.975341281744922,0.992823213548121,0.90844330681091
[2022-03-17 11:00:59],72,img_1,true,true,1.01477216342175,0.963868078670498,0.9719973909692,,,,
[2022-03-17 11:02:52],51,img_3,true,true,0.93279668007355,0.892143428114651,0.912806053211033,0.946084928550217,0.968494247115017,0.898850824787189,0.931763780808008
[2022-03-17 11:04:13],80,img_4,true,true,0.925539408802734,0.959034066407934,0.977859474882713,0.977859474882713,0.953048517836864,0.972407783909381,0.916578314499237
[2022-03-19 08:00:22],29,img_1,true,true,0.941034551513947,0.869296763291303,0.914359714673912,,,,
[2022-03-19 08:02:25],85,img_3,true,true,0.940913288102298,1.06139047556221,0.974075606909691,0.943662519107512,0.979950869255371,0.912122530907071,0.990999703983709
[2022-03-19 08:03:42],76,img_4,true,true,0.962770915105609,0.954859779719956,0.959358960930135,0.94706364594584,0.948077649172602,0,0.95036754984399
